the_geom,interaction,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,cartodb_id,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,fixed_date
0101000020E6100000A1D634EF38E52F40FF21FDF675203D40,60,6744296,434,LBY8423,8423,24 August 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,17382,Northern Africa,Libya,Aljufra,Aljufra,,Hun,29.1268,15.9477,1,Libya24,National,"On August 24, residents in Hun staged a protest in support of the people of Murzuq. [size=two dozen]",0,1579564001,LBY,2019-08-24
0101000020E61000005A643BDF4F8D2A4043AD69DE71724040,30,6998221,434,LBY9409,9409,17 March 2020,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Libya),,3,,,0,302,Northern Africa,Libya,Tripoli,Tripoli,,Mitiga Airport,32.8941,13.276,2,Libya24,National,"On 17 March 2020, artillery fire by an unknown party was reported near Mitiga Airport (Tripoli). No casualties reported.",0,1585000467,LBY,2020-03-17
0101000020E6100000AF25E4839E6D2A4099BB96900F6A4040,17,6993914,434,LBY9359,9359,13 March 2020,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Libya (2014-) Haftar Faction,,1,Civilians (Libya),,7,607,Northern Africa,Libya,Tripoli,Tripoli,,Salah Aldeen,32.8286,13.2141,1,Libya24; Al Wasat (Libya),National,"On 13 March 2020, presumed LNA forces shelled Salah Aldeen (Tripoli), and wounded three civilians.",0,1584396902,LBY,2020-03-13
0101000020E6100000925CFE43FA6D2B408FC2F5285C5F4040,17,6993910,434,LBY9347,9347,12 March 2020,2020,1,Violence against civilians,Attack,Military Forces of Libya (2014-) Haftar Faction,,1,Civilians (Libya),Health Workers (Libya),7,672,Northern Africa,Libya,Almargeb,Almargeb,,Garabulli,32.745,13.7148,1,Ean Libya Limited; Libya24; Al Wasat (Libya); Akhbar Libya,National,"On 12 March 2020, presumed LNA forces killed at least one doctor and wounded others on the Coastal Road in Garabulli (Almargeb).",1,1584396902,LBY,2020-03-12
0101000020E6100000AA60545227802A40BE30992A186D4040,11,6978238,434,LBY9284,9284,29 February 2020,2020,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,1722,Northern Africa,Libya,Tripoli,Tripoli,,As Sabaa,32.8523,13.2503,1,Libya24,National,"On 29 February 2020, LNA and GNA forces reportedly clashed in As Sabaa (Tripoli, Tripoli). No casualties reported.",0,1583194354,LBY,2020-02-29
0101000020E6100000925CFE43FA6D2B408FC2F5285C5F4040,78,6977844,434,LBY9266,9266,27 February 2020,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,Civilians (Libya),,7,1836,Northern Africa,Libya,Almargeb,Almargeb,,Garabulli,32.745,13.7148,2,Address Libya; Akhbar Libya; Libya24,National,"On 27 February 2020, a Turkish airstrike reportedly killed five members of the same family in Rawajih near Garabulli.",5,1583194352,LBY,2020-02-27
0101000020E61000005A643BDF4F8D2A4043AD69DE71724040,10,6978233,434,LBY9262,9262,26 February 2020,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Libya (2014-) Haftar Faction,,1,,,0,1975,Northern Africa,Libya,Tripoli,Tripoli,,Mitiga Airport,32.8941,13.276,1,Libya24,National,"On 26 February 2020, presumed LNA forces reportedly shelled the Mitiga Airport (Tripoli, Tripoli). No casualties reported.",0,1583194354,LBY,2020-02-26
0101000020E6100000BB270F0BB596304068226C787A353F40,60,6865946,434,LBY9228,9228,13 February 2020,2020,1,Protests,Peaceful protest,Protesters (Libya),Teachers (Libya); Students (Libya),6,,,0,2995,Northern Africa,Libya,Sirt,Sirt,,Sirte,31.2089,16.5887,1,Libya24,National,"On 13 February 2020, students and faculty members at the Sirte University staged a large demonstration against Turkey intervening and sending mercenaries to Libya. [size=large]",0,1581982120,LBY,2020-02-13
0101000020E61000005C8FC2F5285C2A400AD7A3703D724040,11,6769165,434,LBY9177,9177,27 January 2020,2020,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,4506,Northern Africa,Libya,Tripoli,Tripoli,,Tripoli,32.8925,13.18,2,Libya EN,Other,"On 27 January 2020, LNA and GNA forces reportedly clashed in multiple unnamed areas in or near Tripoli, no casualties reported.",0,1580773138,LBY,2020-01-27
0101000020E61000000C93A98251292F40F38E537424673F40,11,6769162,434,LBY9172,9172,26 January 2020,2020,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,4586,Northern Africa,Libya,Sirt,Sirt,,Wadi al Washkah,31.4029,15.5807,1,Libya EN,Other,"On 26 January 2020, LNA and GNA forces reportedly clashed in Al Washkah, no casualties reported. LNA claimed to have captured GNA fighters and vehicles.",0,1580773138,LBY,2020-01-26
0101000020E61000005A643BDF4F8D2A4043AD69DE71724040,30,6725563,434,LBY9115,9115,08 January 2020,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Libya),,3,,,0,6200,Northern Africa,Libya,Tripoli,Tripoli,,Mitiga Airport,32.8941,13.276,1,Libya24,National,"On 8 January 2020, indiscriminate shelling, presumably by LNA forces, struck the Mitiga Airport in Tripoli, no casualties reported.",0,1579554015,LBY,2020-01-08
0101000020E61000001361C3D32B852C4098DD938785FA3D40,60,6769792,434,LBY8966,8966,07 December 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),Police Forces of Libya (2016-),6,,,0,8909,Northern Africa,Libya,Al Jabal Al Gharbi,Al Jabal Al Gharbi,,Ash Shwayrif,29.9786,14.2601,1,Ean Libya Limited,National,"On 7 December 2019, members of the security forces in Ash Shwayrif staged a demonstration and threatened to close down the Man-made river in response to salary cuts.[size=dozen]",0,1580773153,LBY,2019-12-07
0101000020E6100000BB270F0BB596304068226C787A353F40,10,6743857,434,LBY8964,8964,06 December 2019,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2014-) Haftar Faction,,1,,,0,8958,Northern Africa,Libya,Sirt,Sirt,,Sirte,31.2089,16.5887,1,Libya24,National,"On 6 December 2019, LNA conducted airstrike against an unspecified target in Sirte, no casualties reported.",0,1579563999,LBY,2019-12-06
0101000020E6100000363CBD5296612A4079E92631086C4040,11,6744013,434,LBY8877,8877,10 November 2019,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,11396,Northern Africa,Libya,Tripoli,Tripoli,,Hadba,32.844,13.1906,1,Libya24,National,"On November 10 2019, LNA airstrike targeted GNA forces in the Hadba area of Tripoli, no casualties reported.",0,1579564000,LBY,2019-11-10
0101000020E6100000BB270F0BB596304068226C787A353F40,11,6741399,434,LBY8824,8824,30 October 2019,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,12534,Northern Africa,Libya,Sirt,Sirt,,Sirte,31.2089,16.5887,2,Libya Al Ahrar,National,"On October 30, GNA conducted airstrike targeting an LNA convoy east of Sirte, no casualties reported.",0,1579563991,LBY,2019-10-30
0101000020E6100000295C8FC2F5082A40075F984C15444040,11,6741471,434,LBY8804,8804,19 October 2019,2019,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,13808,Northern Africa,Libya,Aljfara,Aljfara,,Al Aziziyah,32.5319,13.0175,1,Libya EN,Other,"On October 19, 2019, LNA forces reportedly routed GNA forces in Aziziyah, no casualties reported.",0,1579563992,LBY,2019-10-19
0101000020E61000001E166A4DF36E2A406666666666664040,10,6743938,434,LBY8790,8790,21 October 2019,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2014-) Haftar Faction,,1,,,0,13567,Northern Africa,Libya,Tripoli,Tripoli,,Khallat Farjan,32.8,13.2167,2,Libya24,National,"On October 21, 2019, LNA conducted airstrike against an unspecified target in the area of Khallatat [coded to geoprecision 2], near Khallat Farjan, no casualties reported.",0,1579564000,LBY,2019-10-21
0101000020E610000060764F1E168A2A401CEBE2361A684040,11,6744377,434,LBY8768,8768,19 October 2019,2019,1,Battles,Armed clash,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,13749,Northern Africa,Libya,Tripoli,Tripoli,,Ayn Zarah,32.8133,13.2697,1,Libya24,National,"On October 19, 2019, GNA and LNA forces clashed in Ayn Zarah, no casualties reported.",0,1579564001,LBY,2019-10-19
0101000020E61000009A99999999192A40575BB1BFEC4E4040,37,6744175,434,LBY8726,8726,12 October 2019,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Libya),,3,Civilians (Libya),,7,14253,Northern Africa,Libya,Aljfara,Aljfara,,As Saadiya,32.6166,13.05,1,Libya24,National,"On October 12, indiscriminate shellings by an unknown party fell in As Saadiya.",0,1579564000,LBY,2019-10-12
0101000020E6100000302AA913D0242A40EFC9C342AD514040,11,6743539,434,LBY8706,8706,09 October 2019,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,14505,Northern Africa,Libya,Aljfara,Aljfara,,Al Twaishah,32.6381,13.0719,1,Libya Observer,National,"On October 9, GNA forces targeted LNA positions in Al Twaisha, no casualties reported.",0,1579563998,LBY,2019-10-09
0101000020E6100000302AA913D0242A40EFC9C342AD514040,17,6738338,434,LBY8693,8693,07 October 2019,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2014-) Haftar Faction,,1,Civilians (Libya),Health Workers (Libya),7,14603,Northern Africa,Libya,Aljfara,Aljfara,,Al Twaishah,32.6381,13.0719,1,Libya Observer; Al Wasat (Libya),National,"On October 7, a doctor was killed and a paramedic wounded in a suspected LNA airstrike in Al Twaishah.",1,1579563982,LBY,2019-10-07
